player_id;name;nationality;position;overall;age;hits;potential;team
189332;Jordi Alba;Spain;Defensor Izquierdo;86;31;35;86;FC Barcelona 
184344;Leonardo Bonucci;Italy;Defensor Centro;86;33;17;86;Juventus 
184087;Toby Alderweireld;Belgium;Defensor Centro;86;31;16;86;Tottenham Hotspur 
180206;Miralem Pjanic;Bosnia & Herzegovina;Medio Centro Defensivo|Medio Central;86;30;31;86;Juventus 
179813;Edinson Cavani;Uruguay;Delantero Centro;86;33;26;86;Paris Saint-Germain 
177683;Yann Sommer;Switzerland;Arquero;86;31;5;86;Borussia Mönchengladbach 
143076;Alejandro Gómez;Argentina;Delantero Centro|Medio Centro Ofensivo|Media Punta;86;32;49;86;Atalanta 
235243;Matthijs de Ligt;Netherlands;Defensor Centro;85;20;110;92;Juventus 
231866;Rodri;Spain;Medio Centro Defensivo|Medio Central;85;24;36;89;Manchester City 
231281;Trent Alexander-Arnold;England;Defensor Derecho;85;21;135;90;Liverpool 
230658;Arthur;Brazil;Medio Central;85;23;64;90;FC Barcelona 
230621;Gianluigi Donnarumma;Italy;Arquero;85;21;62;92;Milan 
226753;André Onana;Cameroon;Arquero;85;24;55;89;Ajax 
223848;Sergej Milinkovic-Savic;Serbia;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;85;25;55;90;Lazio 
216594;Nabil Fekir;France;Delantero Centro|Medio Derecho|Medio Centro Ofensivo;85;27;34;87;Real Betis 
216460;José María Giménez;Uruguay;Defensor Centro;85;25;34;89;Atlético Madrid 
212190;Niklas Süle;Germany;Defensor Centro;85;24;42;90;FC Bayern München 
208421;Saúl;Spain;Defensor Izquierdo|Medio Izquierdo|Medio Central;85;25;39;89;Atlético Madrid 
206113;Serge Gnabry;Germany;Medio Derecho|Medio Izquierdo|Extremo Derecho;85;25;79;87;FC Bayern München 
205600;Samuel Umtiti;France;Defensor Centro;85;26;42;88;FC Barcelona 
204963;Carvajal;Spain;Defensor Derecho;85;28;24;85;Real Madrid 
198706;Luis Alberto;Spain;Medio Central|Medio Centro Ofensivo|Media Punta;85;27;27;86;Lazio 
198176;Stefan de Vrij;Netherlands;Defensor Centro;85;28;19;86;Inter 
197965;Pizzi;Portugal;Medio Derecho|Medio Central;85;30;14;85;SL Benfica 
197781;Isco;Spain;Medio Central|Medio Centro Ofensivo|Extremo Izquierdo;85;28;25;85;Real Madrid 
192629;Iago Aspas;Spain;Delantero Centro|Extremo Derecho;85;32;10;85;RC Celta 
192563;Bernd Leno;Germany;Arquero;85;28;30;87;Arsenal 
189596;Thomas Müller;Germany;Medio Derecho|Medio Centro Ofensivo|Extremo Derecho;85;30;23;85;FC Bayern München 
189242;Coutinho;Brazil;Medio Central|Medio Centro Ofensivo|Extremo Izquierdo;85;28;49;85;FC Bayern München 
189117;Roman Bürki;Switzerland;Arquero;85;29;10;86;Borussia Dortmund 
187961;Paulinho;Brazil;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;85;32;22;85;Guangzhou Evergrande Taobao FC 
185122;Péter Gulácsi;Hungary;Arquero;85;30;14;86;RB Leipzig 
183711;Jordan Henderson;England;Medio Centro Defensivo|Medio Central;85;30;41;85;Liverpool 
181291;Georginio Wijnaldum;Netherlands;Medio Centro Defensivo|Medio Central;85;29;40;85;Liverpool 
177413;Axel Witsel;Belgium;Medio Centro Defensivo|Medio Central;85;31;26;85;Borussia Dortmund 
173731;Gareth Bale;Wales;Delantero Centro|Extremo Derecho|Extremo Izquierdo;85;31;69;85;Real Madrid 
172871;Jan Vertonghen;Belgium;Defensor Izquierdo|Defensor Centro;85;33;26;85;Tottenham Hotspur 
168651;Ivan Rakitic;Croatia;Medio Central;85;32;38;85;FC Barcelona 
167664;Gonzalo Higuaín;Argentina;Delantero Centro;85;32;24;85;Juventus 
135507;Fernandinho;Brazil;Defensor Centro|Medio Centro Defensivo;85;35;14;85;Manchester City 
41236;Zlatan Ibrahimovic;Sweden;Delantero Centro;85;38;189;85;Milan 
235790;Kai Havertz;Germany;Medio Derecho|Medio Centro Ofensivo;84;21;176;93;Bayer 04 Leverkusen 
231677;Marcus Rashford;England;Delantero Centro|Medio Izquierdo;84;22;104;89;Manchester United 
231478;Lautaro Martínez;Argentina;Delantero Centro;84;22;138;91;Inter 
226790;Wilfred Ndidi;Nigeria;Medio Centro Defensivo|Medio Central;84;23;36;88;Leicester City 
220814;Lucas Hernández;France;Defensor Izquierdo|Defensor Centro;84;24;47;89;FC Bayern München 
213345;Kingsley Coman;France;Medio Derecho|Medio Izquierdo|Extremo Izquierdo;84;24;65;88;FC Bayern München 
212462;Alex Telles;Brazil;Defensor Izquierdo;84;27;42;85;FC Porto 
212194;Julian Brandt;Germany;Medio Izquierdo|Medio Central|Medio Centro Ofensivo;84;24;51;88;Borussia Dortmund 
210243;Ricardo Pereira;Portugal;Defensor Derecho;84;26;28;86;Leicester City 
209989;Thomas Partey;Ghana;Medio Centro Defensivo|Medio Central;84;27;42;87;Atlético Madrid 
209658;Leon Goretzka;Germany;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;84;25;58;88;FC Bayern München 
207863;Felipe;Brazil;Defensor Centro;84;31;19;84;Atlético Madrid 
207410;Mateo Kovacic;Croatia;Medio Central;84;26;43;87;Chelsea 
205498;Jorginho;Italy;Medio Centro Defensivo|Medio Central;84;28;29;84;Chelsea 
202556;Memphis Depay;Netherlands;Medio Centro Ofensivo|Media Punta|Extremo Izquierdo;84;26;75;87;Olympique Lyonnais 
200647;Josip Ilicic;Slovenia;Delantero Centro|Media Punta;84;32;41;84;Atalanta 
199914;Allan;Brazil;Medio Central;84;29;13;84;Napoli 
199845;Francesco Acerbi;Italy;Defensor Centro;84;32;15;84;Lazio 
199482;Anthony Lopes;Portugal;Arquero;84;29;5;86;Olympique Lyonnais 
199451;Wissam Ben Yedder;France;Delantero Centro;84;29;31;84;AS Monaco Football Club SA 
198710;James Rodríguez;Colombia;Medio Derecho|Medio Central|Medio Centro Ofensivo;84;29;41;84;Real Madrid 
194404;Neto;Brazil;Arquero;84;31;7;85;FC Barcelona 
193474;Idrissa Gueye;Senegal;Medio Centro Defensivo|Medio Central;84;30;30;84;Paris Saint-Germain 
193301;Alexandre Lacazette;France;Delantero Centro;84;29;43;84;Arsenal 
192774;Kostas Manolas;Greece;Defensor Centro;84;29;11;85;Napoli 
191043;Alex Sandro;Brazil;Defensor Izquierdo|Medio Izquierdo;84;29;18;84;Juventus 
190483;Douglas Costa;Brazil;Medio Izquierdo|Extremo Derecho|Extremo Izquierdo;84;29;24;84;Juventus 
190286;Canales;Spain;Medio Izquierdo|Medio Central|Medio Centro Ofensivo;84;29;18;84;Real Betis 
188152;Oscar;Brazil;Medio Central|Medio Centro Ofensivo|Extremo Izquierdo;84;28;25;84;Shanghai SIPG FC 
186942;Ilkay Gündogan;Germany;Medio Centro Defensivo|Medio Central;84;29;18;84;Manchester City 
185020;José Callejón;Spain;Medio Derecho|Extremo Derecho;84;33;13;84;Napoli 
184432;Azpilicueta;Spain;Defensor Derecho|Defensor Izquierdo|Defensor Centro;84;30;25;84;Chelsea 
181872;Arturo Vidal;Chile;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;84;33;53;84;FC Barcelona 
180930;Edin Dzeko;Bosnia & Herzegovina;Delantero Centro;84;34;13;84;Roma 
178562;Éver Banega;Argentina;Medio Centro Defensivo|Medio Central;84;32;9;84;Sevilla FC 
178518;Radja Nainggolan;Belgium;Medio Central|Medio Centro Ofensivo|Media Punta;84;32;19;84;Cagliari 
176676;Marcelo;Brazil;Defensor Izquierdo;84;32;22;84;Real Madrid 
176266;Lucas Leiva;Brazil;Medio Centro Defensivo;84;33;10;84;Lazio 
170890;Blaise Matuidi;France;Medio Centro Defensivo|Medio Central;84;33;20;84;Juventus 
168435;Salvatore Sirigu;Italy;Arquero;84;33;6;84;Torino 
162347;João Moutinho;Portugal;Medio Central;84;33;12;84;Wolverhampton Wanderers 
231443;Ousmane Dembélé;France;Extremo Derecho|Extremo Izquierdo;83;23;82;90;FC Barcelona 
230481;Ronaldo Cabrais;Brazil;Medio Centro Ofensivo|Extremo Derecho;83;28;22;83;Grêmio 
230375;Josué Chiamulera;Brazil;Defensor Centro;83;28;12;83;Grêmio 
230294;Louri Beretta;Brazil;Delantero Centro|Media Punta;83;28;15;83;Atlético Mineiro 
230142;Oyarzabal;Spain;Extremo Derecho|Extremo Izquierdo;83;23;22;89;Real Sociedad 
226271;Fabián;Spain;Medio Central;83;24;32;89;Napoli 
221363;Donny van de Beek;Netherlands;Medio Central|Medio Centro Ofensivo;83;23;72;87;Ajax 
221087;Pau López;Spain;Arquero;83;25;12;88;Roma 
217940;Dakonam Djené;Togo;Defensor Centro;83;28;6;84;Getafe CF 
216547;Rafa;Portugal;Medio Derecho|Medio Izquierdo;83;27;10;84;SL Benfica 
216354;Andrej Kramaric;Croatia;Delantero Centro|Medio Centro Ofensivo;83;29;10;83;TSG 1899 Hoffenheim 
216352;Marcelo Brozovic;Croatia;Medio Centro Defensivo|Medio Central;83;27;18;85;Inter 
215333;Duván Zapata;Colombia;Delantero Centro;83;29;45;83;Atalanta 
212523;Anderson Talisca;Brazil;Medio Centro Ofensivo|Extremo Derecho;83;26;21;86;Guangzhou Evergrande Taobao FC 
212151;Thomas Strakosha;lbania;Arquero;83;25;16;88;Lazio 
211300;Anthony Martial;France;Delantero Centro;83;24;72;87;Manchester United 
211256;Nicolás Tagliafico;Argentina;Defensor Izquierdo;83;27;28;84;Ajax 
211117;Dele Alli;England;Medio Central|Medio Centro Ofensivo;83;24;52;88;Tottenham Hotspur 
210413;Alessio Romagnoli;Italy;Defensor Centro;83;25;49;89;Milan 
210035;Grimaldo;Spain;Defensor Izquierdo;83;24;34;87;SL Benfica 
209889;Raphaël Guerreiro;Portugal;Defensor Izquierdo|Medio Izquierdo|Medio Central;83;26;27;84;Borussia Dortmund 
208808;Quincy Promes;Netherlands;Medio Centro Ofensivo|Extremo Izquierdo;83;28;22;83;Ajax 
208574;Filip Kostic;Serbia;Carrilero Izquierdo|Medio Izquierdo|Extremo Izquierdo;83;27;16;83;Eintracht Frankfurt 
208418;Yannick Carrasco;Belgium;Medio Izquierdo;83;26;25;84;Atlético Madrid 
206585;Kepa;Spain;Arquero;83;25;60;87;Chelsea 
205678;Edin Višca;Bosnia & Herzegovina;Medio Derecho;83;30;8;83;Medipol Basaksehir FK 
205175;Arkadiusz Milik;Poland;Delantero Centro;83;26;25;86;Napoli 
205070;Portu;Spain;Medio Derecho|Media Punta|Extremo Derecho;83;28;6;83;Real Sociedad 
204970;Florian Thauvin;France;Medio Derecho|Extremo Derecho;83;27;16;83;Olympique de Marseille 
204923;Marcel Sabitzer;Austria;Medio Central|Medio Centro Ofensivo;83;26;20;85;RB Leipzig 
204838;Raúl Jiménez;Mexico;Delantero Centro;83;29;63;83;Wolverhampton Wanderers 
204639;Stefan Savic;Montenegro;Defensor Centro;83;29;12;84;Atlético Madrid 
203486;Thorgan Hazard;Belgium;Medio Derecho|Medio Izquierdo|Media Punta;83;27;28;83;Borussia Dortmund 
203263;Harry Maguire;England;Defensor Centro;83;27;48;86;Manchester United 
201305;Gabriel Paulista;Brazil;Defensor Centro;83;29;14;84;Valencia CF 
201153;Morata;Spain;Delantero Centro;83;27;10;84;Atlético Madrid 
200458;Lucas Digne;France;Defensor Izquierdo;83;27;18;86;Everton 
199434;Dušan Tadic;Serbia;Medio Centro Ofensivo|Media Punta|Extremo Izquierdo;83;31;12;83;Ajax 
199042;Charles Aránguiz;Chile;Medio Centro Defensivo|Medio Central;83;31;15;83;Bayer 04 Leverkusen 
198950;Pablo Sarabia;Spain;Medio Centro Ofensivo|Extremo Derecho;83;28;33;84;Paris Saint-Germain 
198717;Wilfried Zaha;Ivory Coast;Medio Izquierdo|Media Punta;83;27;54;83;Crystal Palace 
198329;Rodrigo;Spain;Delantero Centro;83;29;17;83;Valencia CF 
198141;Bartra;Spain;Defensor Centro|Medio Centro Defensivo;83;29;18;84;Real Betis 
197445;David Alaba;Austria;Defensor Izquierdo|Defensor Centro;83;28;46;84;FC Bayern München 
197061;Joel Matip;Cameroon;Defensor Centro;83;28;14;84;Liverpool 
193082;Juan Cuadrado;Colombia;Defensor Derecho|Medio Derecho|Extremo Derecho;83;32;21;83;Juventus 
192984;Koen Casteels;Belgium;Arquero;83;28;3;85;VfL Wolfsburg 
190941;Lukáš Hrádecky;Finland;Arquero;83;30;8;83;Bayer 04 Leverkusen 
190815;Daley Blind;Netherlands;Defensor Izquierdo|Defensor Centro|Medio Centro Defensivo;83;30;20;83;Ajax 
189575;Muniain;Spain;Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo;83;27;9;83;Athletic Club 
188943;Kevin Trapp;Germany;Arquero;83;30;11;83;Eintracht Frankfurt 
188377;Kyle Walker;England;Defensor Derecho;83;30;29;83;Manchester City 
186561;Aaron Ramsey;Wales;Medio Central|Medio Centro Ofensivo;83;29;14;83;Juventus 
184200;Marko Arnautovic;Austria;Delantero Centro;83;31;9;83;Shanghai SIPG FC 
183574;Max Kruse;Germany;Delantero Centro|Medio Centro Ofensivo;83;32;5;83;Fenerbahçe SK 
181458;Ivan Perišic;Croatia;Medio Izquierdo|Extremo Izquierdo;83;31;13;83;FC Bayern München 
179846;Sami Khedira;Germany;Medio Centro Defensivo|Medio Central;83;33;19;83;Juventus 
178005;Rui Patrício;Portugal;Arquero;83;32;19;83;Wolverhampton Wanderers 
176635;Mesut Özil;Germany;Medio Centro Ofensivo|Extremo Derecho;83;31;44;83;Arsenal 
171877;Marek Hamšík;Slovakia;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;83;33;12;83;Dalian YiFang FC 
170481;Ezequiel Garay;Argentina;Defensor Centro;83;33;5;83;Valencia CF 
169416;Carlos Vela;Mexico;Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo;83;31;20;83;LAFC 
163705;Steve Mandanda;France;Arquero;83;35;4;83;Olympique de Marseille 
163587;Kasper Schmeichel;Denmark;Arquero;83;33;41;83;Leicester City 
157481;Raúl Albiol;Spain;Defensor Centro;83;34;7;83;Villarreal CF 
146562;Santi Cazorla;Spain;Medio Centro Defensivo|Medio Izquierdo|Medio Central;83;35;22;83;Villarreal CF 
1179;Gianluigi Buffon;Italy;Arquero;83;42;50;83;Juventus 
245313;José María Sildero;Uruguay;Medio Derecho|Medio Centro Ofensivo;82;28;17;82;Free Agents 
245309;Egidio Maestre Schetino;Uruguay;Defensor Centro;82;28;12;82;Free Agents 
239818;Rúben Dias;Portugal;Defensor Centro;82;23;35;88;SL Benfica 
239053;Federico Valverde;Uruguay;Medio Centro Defensivo|Medio Central;82;22;87;90;Real Madrid 
236583;Jirí Pavlenka;Czech Republic;Arquero;82;28;3;83;SV Werder Bremen 
235212;Achraf Hakimi;Morocco;Defensor Derecho|Defensor Izquierdo|Medio Derecho;82;21;91;87;Borussia Dortmund 
232432;Luka Jovic;Serbia;Delantero Centro;82;22;46;88;Real Madrid 
230666;Gabriel Jesus;Brazil;Delantero Centro;82;23;48;88;Manchester City 
230430;Oswaldinato;Brazil;Delantero Centro;82;28;20;82;Flamengo 
230384;Nuno Padrenda;Brazil;Delantero Centro|Medio Centro Ofensivo|Media Punta;82;24;6;84;Palmeiras 
230258;Rosberto Dourado;Brazil;Medio Centro Defensivo|Medio Central|Medio Centro Ofensivo;82;20;13;82;Atlético Mineiro 
230225;Juiano Mestres;Brazil;Defensor Centro|Medio Centro Defensivo;82;24;6;82;Cruzeiro 
230168;Raphaelito Anjos;Brazil;Arquero;82;32;3;82;Grêmio 
229880;Aaron Wan-Bissaka;England;Carrilero Derecho|Defensor Derecho|Extremo Derecho;82;22;94;89;Manchester United 
229261;Denis Zakaria;Switzerland;Defensor Centro|Medio Centro Defensivo|Medio Central;82;23;29;86;Borussia Mönchengladbach 
227928;Nélson Semedo;Portugal;Defensor Derecho;82;26;51;85;FC Barcelona 
226226;Giovani Lo Celso;Argentina;Medio Central|Medio Centro Ofensivo;82;24;31;87;Tottenham Hotspur 
226110;Nicolas Pépé;Ivory Coast;Medio Derecho|Extremo Derecho;82;25;79;87;Arsenal 
225953;Steven Bergwijn;Netherlands;Medio Centro Ofensivo|Extremo Derecho|Extremo Izquierdo;82;22;44;87;Tottenham Hotspur 
225850;Presnel Kimpembe;France;Defensor Centro;82;24;46;86;Paris Saint-Germain 
225100;Joe Gomez;England;Defensor Derecho|Defensor Centro;82;23;66;89;Liverpool 
224411;Gonçalo Guedes;Portugal;Delantero Centro|Medio Izquierdo;82;23;25;88;Valencia CF 
224334;Marcos Acuña;Argentina;Defensor Izquierdo|Extremo Izquierdo;82;28;12;82;Sporting CP 
224293;Rúben Neves;Portugal;Medio Central;82;23;32;87;Wolverhampton Wanderers 
223952;David Soria;Spain;Arquero;82;27;5;84;Getafe CF 
222665;Martin Ødegaard;Norway;Medio Derecho|Medio Central|Medio Centro Ofensivo;82;21;68;88;Real Sociedad 
220971;Naby Keïta;Guinea;Medio Centro Defensivo|Medio Central;82;25;20;86;Liverpool 
220834;Marco Asensio;Spain;Extremo Derecho|Extremo Izquierdo;82;24;47;86;Real Madrid 
220793;Davinson Sánchez;Colombia;Defensor Centro;82;24;23;85;Tottenham Hotspur 
220697;James Maddison;England;Medio Central|Medio Centro Ofensivo|Extremo Izquierdo;82;23;64;87;Leicester City 
220407;Martin Dúbravka;Slovakia;Arquero;82;31;3;82;Newcastle United 
219683;Corentin Tolisso;France;Medio Centro Defensivo|Medio Central;82;25;38;85;FC Bayern München 
216409;Matteo Politano;Italy;Delantero Centro|Medio Derecho|Extremo Derecho;82;26;23;83;Napoli 
216201;Iñaki Williams;Spain;Delantero Centro|Extremo Derecho;82;26;45;85;Athletic Club 
215698;Mike Maignan;France;Arquero;82;25;18;86;LOSC Lille 
214997;Ángel Correa;Argentina;Delantero Centro|Medio Derecho;82;25;34;85;Atlético Madrid 
213565;Thomas Lemar;France;Medio Derecho|Medio Izquierdo|Medio Centro Ofensivo;82;24;31;86;Atlético Madrid 
211591;Moussa Dembélé;France;Delantero Centro;82;24;23;86;Olympique Lyonnais 
210514;João Cancelo;Portugal;Defensor Derecho;82;26;43;86;Manchester City 
210008;Adrien Rabiot;France;Medio Centro Defensivo|Medio Central;82;25;32;85;Juventus 
209960;Pacheco;Spain;Arquero;82;28;3;84;D. Alavés 
208596;Andrea Belotti;Italy;Delantero Centro;82;26;28;85;Torino 
208333;Emre Can;Germany;Medio Centro Defensivo|Medio Central;82;26;24;85;Borussia Dortmund 
208093;Gerard Moreno;Spain;Delantero Centro|Medio Derecho;82;28;14;82;Villarreal CF 
207877;Josef Martínez;Venezuela;Delantero Centro;82;27;27;84;Atlanta United 
207862;Matthias Ginter;Germany;Defensor Centro;82;26;25;83;Borussia Mönchengladbach 
207566;William Carvalho;Portugal;Medio Centro Defensivo|Medio Central;82;28;13;82;Real Betis 
205693;Sébastien Haller;France;Delantero Centro;82;26;16;84;West Ham United 
205452;Antonio Rüdiger;Germany;Defensor Centro;82;27;24;84;Chelsea 
202857;Karim Bellarabi;Germany;Medio Derecho;82;30;5;82;Bayer 04 Leverkusen 
202166;Julian Draxler;Germany;Medio Central|Medio Centro Ofensivo|Extremo Izquierdo;82;26;31;83;Paris Saint-Germain 
201995;Felipe Anderson;Brazil;Medio Izquierdo|Medio Centro Ofensivo;82;27;14;82;West Ham United 
200949;Lucas Moura;Brazil;Medio Derecho|Media Punta;82;27;25;82;Tottenham Hotspur 
200888;Danilo Pereira;Portugal;Medio Centro Defensivo|Medio Central;82;28;9;82;FC Porto 
200724;Nacho Fernández;Spain;Defensor Derecho|Defensor Izquierdo|Defensor Centro;82;30;13;82;Real Madrid 
200610;Kevin Volland;Germany;Delantero Centro|Extremo Derecho|Extremo Izquierdo;82;27;8;83;Bayer 04 Leverkusen 
200454;Paco Alcácer;Spain;Delantero Centro;82;26;16;84;Villarreal CF 
199987;Jasper Cillessen;Netherlands;Arquero;82;31;15;82;Valencia CF 
199564;Sergi Roberto;Spain;Defensor Derecho|Medio Central;82;28;28;82;FC Barcelona 
198951;Cédric Bakambu;DR Congo;Delantero Centro;82;29;8;82;Beijing Sinobo Guoan FC 
198009;Mattia Perin;Italy;Arquero;82;27;12;84;Genoa 
195093;Willian José;Brazil;Delantero Centro;82;28;5;82;Real Sociedad 
193698;Oliver Baumann;Germany;Arquero;82;30;1;83;TSG 1899 Hoffenheim 
193525;Mário Fernandes;Russia;Carrilero Derecho|Medio Derecho|Extremo Derecho;82;29;16;82;PFC CSKA Moscow 
193283;Thomas Delaney;Denmark;Medio Centro Defensivo|Medio Central;82;28;13;83;Borussia Dortmund 
193165;Jesús Corona;Mexico;Defensor Derecho|Medio Derecho;82;27;21;83;FC Porto 
193105;Alphonse Areola;France;Arquero;82;27;18;86;Real Madrid 
190584;Illarramendi;Spain;Medio Centro Defensivo|Medio Central;82;30;4;82;Real Sociedad 
188803;Taison;Brazil;Medio Izquierdo|Medio Centro Ofensivo;82;32;11;82;Shakhtar Donetsk 
